,Data_Source,Camera_Count,geometry,x,y
2942,Amnesty,1,POINT (-73.8897686016242 40.674107127937845),-73.8897686016242,40.674107127937845
2943,Amnesty,2,POINT (-73.95109581970004 40.63607118680739),-73.95109581970004,40.63607118680739
2944,Amnesty,1,POINT (-73.9677670068905 40.68098484672903),-73.9677670068905,40.68098484672903
2945,Amnesty,1,POINT (-73.9978279 40.68306660000001),-73.9978279,40.68306660000001
2946,Amnesty,2,POINT (-73.91618362576278 40.6929795735069),-73.91618362576278,40.6929795735069
2947,Amnesty,1,POINT (-73.93677390423338 40.69154651975318),-73.93677390423338,40.69154651975318
2948,Amnesty,3,POINT (-73.9210512356039 40.68818322273978),-73.9210512356039,40.68818322273978
2949,Amnesty,1,POINT (-73.90203616058726 40.673589784045966),-73.90203616058726,40.673589784045966
2950,Amnesty,3,POINT (-74.00076047408763 40.612566097793625),-74.00076047408763,40.612566097793625
2951,Amnesty,5,POINT (-73.9894455676569 40.62342626685343),-73.9894455676569,40.62342626685343
2952,Amnesty,2,POINT (-73.95109642307312 40.646808798410255),-73.95109642307312,40.646808798410255
2953,Amnesty,3,POINT (-74.011684 40.65413499999999),-74.011684,40.65413499999999
2954,Amnesty,1,POINT (-74.03492023677201 40.61428498313986),-74.03492023677201,40.61428498313986
2955,Amnesty,1,POINT (-74.03342641858326 40.63906318476841),-74.03342641858326,40.63906318476841
2956,Amnesty,6,POINT (-73.96567795929495 40.627109981012325),-73.96567795929495,40.627109981012325
2957,Amnesty,3,POINT (-73.95224686050787 40.694251687873475),-73.95224686050787,40.694251687873475
2958,Amnesty,1,POINT (-73.96545017261651 40.583159263509735),-73.96545017261651,40.583159263509735
2959,Amnesty,2,POINT (-73.87711859122838 40.68441268025655),-73.87711859122838,40.68441268025655
2960,Amnesty,2,POINT (-74.00753204531202 40.64434048636365),-74.00753204531202,40.64434048636365
2961,Amnesty,3,POINT (-73.93496859164199 40.63244586965455),-73.93496859164199,40.63244586965455
2962,Amnesty,2,POINT (-73.97327147302244 40.632713681669664),-73.97327147302244,40.632713681669664
2963,Amnesty,5,POINT (-73.95944467458797 40.715082690872826),-73.95944467458797,40.715082690872826
2964,Amnesty,2,POINT (-73.9542356 40.68505160000001),-73.9542356,40.68505160000001
2965,Amnesty,1,POINT (-73.88979586731924 40.66335849617269),-73.88979586731924,40.66335849617269
2966,Amnesty,2,POINT (-74.00137534790159 40.68469848994086),-74.00137534790159,40.68469848994086
2967,Amnesty,1,POINT (-73.98956163506088 40.68397579718288),-73.98956163506088,40.68397579718288
2968,Amnesty,2,POINT (-74.0004646038653 40.62724406049746),-74.0004646038653,40.62724406049746
2969,Amnesty,4,POINT (-73.91604906400227 40.65991444735743),-73.91604906400227,40.65991444735743
