,Name,Latitude,Longitude,Zip_Code,Borough,geometry_layer,wkt
55,162.84.146.236 ,40.64247131,-74.09945679,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09945679 40.64247131 0)
56,173.56.14.19 ,40.61397934,-74.10740662,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10740662 40.61397934 0)
57,173.56.33.175 ,40.63515854,-74.10114288,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10114288 40.63515854 0)
58,173.56.33.83 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
59,173.56.63.148 ,40.63933945,-74.08612823,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08612823 40.63933945 0)
60,173.68.186.236 ,40.6422081,-74.09417725,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09417725 40.6422081 0)
61,173.77.249.126 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
62,68.161.201.93 ,40.64015961,-74.08866882,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08866882 40.64015961 0)
63,68.195.19.194 ,40.64356995,-74.0983429,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.0983429 40.64356995 0)
64,68.237.20.212 ,40.61460114,-74.10910034,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10910034 40.61460114 0)
65,68.237.200.24 ,40.63788986,-74.08152008,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08152008 40.63788986 0)
66,68.237.45.138 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
67,70.104.136.11 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
68,70.104.136.23 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
69,70.18.13.157 ,40.61994171,-74.10238647,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10238647 40.61994171 0)
70,70.18.211.3 ,40.6414299,-74.08824158,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08824158 40.6414299 0)
71,70.23.200.105 ,40.63069153,-74.08849335,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08849335 40.63069153 0)
72,70.23.200.107 ,40.63069153,-74.08849335,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08849335 40.63069153 0)
73,70.23.200.118 ,40.64677048,-74.08654785,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08654785 40.64677048 0)
74,70.23.48.235 ,40.63676071,-74.07743073,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07743073 40.63676071 0)
75,70.23.48.86 ,40.63526917,-74.09964752,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09964752 40.63526917 0)
76,70.23.54.206 ,40.63069153,-74.08849335,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08849335 40.63069153 0)
77,70.23.54.231 ,40.64540863,-74.08085632,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08085632 40.64540863 0)
78,70.23.54.245 ,40.64385986,-74.09236908,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09236908 40.64385986 0)
79,70.23.54.94 ,40.61906052,-74.09044647,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09044647 40.61906052 0)
80,70.23.91.206 ,40.63417816,-74.09322357,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09322357 40.63417816 0)
81,70.23.91.44 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
